コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	注意フラグ	要確認理由	配当ランキング利用可否	記事掲載区分	yfinance状態	売上高_直近期(百万円)	営業利益率(%)	売上成長率_YoY(%)	自己資本比率(%)	DEレシオ	FCF(百万円)	EPS(円)	配当性向(%)	ROE(%)	連続増配(年)
1301	極洋	プライム（内国株式）	50	水産・農林業	1	食品	6	TOPIX Small 1	4310.0	3.71	160.0	3.66	160.0	3.71	配当あり	いいえ	7.48	0.66	511.9	5450.0	4165.0	Consumer Defensive			OK	通常掲載可	OK	334612.0	3.21	10.55	36.12	1.19	-745.0	575.97	27.78	8.88	1
130A	Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ	グロース（内国株式）	3250	医薬品	5	医薬品	-	-	429.0						配当未取得			1.56	27.8	940.0	390.0	Healthcare	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	91.1	-435.32	-53.18	94.64		-330.5	-65.64		-21.32	
1332	ニッスイ	プライム（内国株式）	50	水産・農林業	1	食品	4	TOPIX Mid400	1245.0	2.57	32.0	2.49	32.0	2.57	配当あり	いいえ	13.81	1.26	3775.7	1570.0	859.0	Consumer Defensive			OK	通常掲載可	OK	931265.0	4.34	5.09	40.04	0.9	8889.0	90.14	35.5	9.92	6
1333	Ｕｍｉｏｓ	プライム（内国株式）	50	水産・農林業	1	食品	4	TOPIX Mid400	1283.5	3.58	46.0	3.52	46.0	3.58	配当あり	いいえ	8.75	0.78	1940.4	1589.0	1005.0	Consumer Defensive			OK	通常掲載可	OK	1105890.0	2.82	2.53	32.89	1.24	-1743.0	146.76	31.34	9.96	4
135A	ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	4460.0						配当未取得		70.42	30.9	457.4	4790.0	1910.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	3278.0	27.91	52.89	64.82	0.19	-475.0	63.33		43.88	
1375	ユキグニファクトリー	プライム（内国株式）	50	水産・農林業	1	食品	7	TOPIX Small 2	1132.0	1.77	20.0	1.77	20.0	1.77	配当あり	いいえ	15.26	3.06	451.5	1149.0	1000.0	Consumer Defensive			OK	通常掲載可	OK	53449.0	8.08	0.58	39.19	1.07	3296.0	74.16	26.97	21.65	2
1376	カネコ種苗	スタンダード（内国株式）	50	水産・農林業	1	食品	7	TOPIX Small 2	1446.0	3.32	48.0	3.28	48.0	3.32	配当あり	いいえ	12.44	0.62	158.6	1859.0	1355.0	Basic Materials			OK	通常掲載可	OK	64508.7	2.34	4.72	50.72		-1138.4	116.23	41.3	5.16	4
1377	サカタのタネ	プライム（内国株式）	50	水産・農林業	1	食品	6	TOPIX Small 1	4140.0	1.93	80.0	1.91	80.0	1.93	配当あり	いいえ	15.48	1.01	1749.6	4630.0	3310.0	Consumer Defensive			OK	通常掲載可	OK	92920.0	13.19	4.78	84.46	0.02	-2606.0	267.52	29.9	6.31	5
1379	ホクト	プライム（内国株式）	50	水産・農林業	1	食品	7	TOPIX Small 2	1830.0	3.39	62.0	3.39	62.0	3.39	配当あり	いいえ	9.54	0.88	573.6	2123.0	1779.0	Consumer Defensive			OK	通常掲載可	OK	85915.0	8.18	3.38	57.09	0.47	5901.0	191.76	32.33	11.51	0
137A	Ｃｏｃｏｌｉｖｅ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	788.0						配当未取得		12.8	6.44	23.7	1585.0	549.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	1301.8	21.48	26.66	84.09	0.0	221.4	61.56		50.31	
