コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	注意フラグ	要確認理由	配当ランキング利用可否	記事掲載区分	yfinance状態	売上高_直近期(百万円)	営業利益率(%)	売上成長率_YoY(%)	自己資本比率(%)	DEレシオ	FCF(百万円)	EPS(円)	配当性向(%)	ROE(%)	連続増配(年)
7034	プロレド・パートナーズ	プライム（内国株式）	9050	サービス業	10	情報通信・サービスその他	7	TOPIX Small 2	353.0						配当未取得		13.72	0.64	38.6	805.0	320.0	Industrials	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	12302.7	40.2	158.72	47.8	0.11	5149.2	25.73		15.97	
7035	ａｎｄ　ｆａｃｔｏｒｙ	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	250.0						配当未取得			3.48	28.2	326.0	201.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	3209.0	-8.42	-36.13	44.12	0.4	-488.8	-23.15		-27.14	
7036	イーエムネットジャパン	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	613.0	5.55	34.0	5.59	34.0	5.55	配当あり	いいえ		3.05	23.7	1270.0	585.0	Communication Services			OK	通常掲載可	OK	1594.8	82.49	19.94	33.26	0.0	-191.9	-116.34		-42.42	0
7037	テノ．ホールディングス	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	821.0	2.44	20.0	2.38	20.0	2.44	配当あり	いいえ	34.85	2.02	37.5	1311.0	474.0	Healthcare			OK	通常掲載可	OK	18129.0	3.48	13.19	17.3	3.09	803.0	23.56	84.89	9.22	1
7038	フロンティア・マネジメント	プライム（内国株式）	9050	サービス業	10	情報通信・サービスその他	7	TOPIX Small 2	543.0						配当未取得			3.84	63.8	744.0	526.0	Industrials	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	13489.5	-2.55	45.59	9.47	3.09	-2072.8	-93.72		-10.76	2
7039	ブリッジインターナショナルグループ	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	1663.0	5.71	95.0	5.72	95.0	5.71	配当あり	いいえ	11.14	1.33	58.9	2125.0	1586.0	Industrials			OK	通常掲載可	OK	8564.9	10.2	-0.59	83.55	0.01	385.8	149.34	63.61	12.23	1
7040	サン・ライフホールディング	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	956.0	3.56	34.0	3.47	34.0	3.56	配当あり	いいえ	9.68	0.85	58.5	1297.0	901.0	Consumer Cyclical			OK	通常掲載可	OK	14149.6	7.79	2.12	19.2		226.6	98.75	34.43	9.16	0
7041	ＣＲＧホールディングス	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	347.0	5.19	18.0	5.19	18.0	5.19	配当あり	いいえ	50.0	0.65	19.4	398.0	240.0	Industrials			OK	通常掲載可	OK	16420.2	1.7	-3.92	32.23	1.54	-278.6	6.94	259.37	1.27	
7042	アクセスグループ・ホールディングス	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	633.0	3.48	22.0	3.57	22.0	3.48	配当あり	いいえ	12.3	1.42	21.9	950.0	517.0	Consumer Cyclical			OK	通常掲載可	OK	3954.3	5.85	10.0	57.33	0.26	97.6	51.46	42.75	12.19	2
7043	アルー	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	933.0	1.18	11.0	1.18	11.0	1.18	配当あり	いいえ	9.99	1.83	23.8	1238.0	759.0	Industrials			OK	通常掲載可	OK	3637.8	9.73	17.77	58.91	0.33	534.3	93.39	11.78	24.13	0
7044	ピアラ	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	470.0						配当未取得		16.95	5.26	33.7	678.0	462.0	Communication Services	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	15731.2	0.26	16.63	13.63	2.57	266.8	27.73		14.09	0
7046	ＴＤＳＥ	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	1330.0	0.75	10.0	0.74	10.0	0.75	配当あり	いいえ	16.18	1.17	27.8	1810.0	1200.0	Technology			OK	通常掲載可	OK	3005.5	7.13	11.35	79.74	0.0	193.3	82.19	12.17	7.59	0
7047	ポート	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	2231.0	1.12	25.0	1.15	25.0	1.12	配当あり	いいえ	10.97	2.77	292.7	2572.0	1760.0	Communication Services			OK	通常掲載可	OK	29100.0	13.87	32.5	29.28	1.3	2289.0	203.29	12.3	8.58	1
7048	ベルトラ	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	163.0						配当未取得		43.12	2.25	59.7	312.0	115.0	Consumer Cyclical	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	4581.6	2.29	6.43	28.39	0.0	920.2	3.78		3.01	
7049	識学	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	855.0						配当未取得		25.38	2.51	71.9	1017.0	744.0	Industrials	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	6536.9	7.52	21.75	59.77	0.04	76.9	33.69		42.13	
7050	フロンティアインターナショナル	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	1307.0	5.59	73.0	5.59	73.0	5.59	配当あり	いいえ	9.4	1.18	117.1	1724.0	1040.0	Communication Services			OK	通常掲載可	OK	20335.1	6.28	20.01	61.8	0.03	1601.7	139.06	52.5	14.46	1
7057	エヌ・シー・エヌ	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	909.0	3.63	33.0	3.63	33.0	3.63	配当あり	いいえ	18.69	1.28	27.1	1188.0	856.0	Industrials			OK	通常掲載可	OK	8414.2	1.81	3.57	34.99	0.05	284.1	48.63	67.86	7.03	1
7058	共栄セキュリティーサービス	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	3150.0	3.81	120.0	3.88	120.0	3.81	配当あり	いいえ	6.98	0.91	45.6	3155.0	2421.0	Industrials			OK	通常掲載可	OK	10113.4	4.79	8.11	71.34	0.11	398.7	451.4	26.58	13.47	0
7059	コプロ・ホールディングス	プライム（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	782.0	5.75	45.0	5.85	45.0	5.75	配当あり	いいえ	10.3	3.02	299.7	1203.0	716.0	Industrials			OK	通常掲載可	OK	36661.6	9.91	22.14	20.91	2.95	2352.7	75.93	59.27	31.44	5
7060	ギークス	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	580.0	5.86	34.0	5.81	34.0	5.86	配当あり	いいえ	9.25	1.93	58.9	713.0	486.0	Technology			OK	通常掲載可	OK	26375.6	3.32	4.82	38.9	0.64	741.5	62.71	54.22	21.88	1
7061	日本ホスピスホールディングス	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	555.0	4.5	25.0	4.78	25.0	4.5	配当あり	いいえ	15.9	1.32	46.9	1578.0	509.0	Healthcare			OK	通常掲載可	OK	14168.9	5.99	16.95	19.43	3.58	-1367.6	34.91	71.61	8.61	1
7062	フレアス	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	735.0	1.44	10.57	1.44	10.57	1.44	配当あり	いいえ	3.73	0.88	19.2	989.0	713.0	Consumer Cyclical			OK	通常掲載可	OK	7637.5	3.84	0.72	40.44	0.98	564.5	196.98	5.37	27.27	0
7063	Ｂｉｒｄｍａｎ	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	76.0						配当未取得			1.01	25.6	345.0	61.0	Communication Services	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	2085.5	-88.24	-53.5	-384.89		-2125.2	-27.48		-182.55	
7064	ハウテレビジョン	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	856.0						配当未取得		24.47	1.52	23.3	1500.0	752.0	Industrials	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	2558.1	79.52	18.05	52.96	0.28	238.7	34.98		12.17	
7065	ユーピーアール	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	1005.0	3.48	35.0	3.48	35.0	3.48	配当あり	いいえ	10.9	0.81	77.0	1138.0	692.0	Industrials			OK	通常掲載可	OK	15354.2	1.81	-0.7	41.66	1.0	-665.2	92.16	37.98	7.99	3
7066	ピアズ	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	404.0	3.34	13.5	3.47	13.5	3.34	配当あり	いいえ	8.69	1.28	36.4	835.0	363.0	Industrials			OK	通常掲載可	OK	6103.9	9.16	-1.69	61.91	0.28	664.6	46.5	29.03	15.06	4
