証券コード	銘柄名	2014年数量	2014年評価額	株式分割履歴	2026年数量	2026年評価額	損益	損益率(%)	備考
7611	ハイデ日高	125	471875	2015/02 1:1.2 2016/02 1:1.2 2017/02 1:1.2 2018/02 1:1.2 2019/02 1:1.1	285.12	713085.1	241210.1	51.1	
7575	日本ライフライン	100	134500	2015/09 1:2 2016/11 1:2 2017/12 1:2	800	1028800.0	894300.0	664.9	
7309	シマノ	1	15650	なし	1	17205.0	1555.0	9.9	
7412	アトム	40	31160	なし	40	14480.0	-16680.0	-53.5	
7936	アシックス	10	28950	2024/06 1:4	40	174520.0	145570.0	502.8	
9201	JAL	2	7200	なし	2	5557.0	-1643.0	-22.8	
8113	ユニチャーム	20	58240	2024/12 1:3	60	55728.0	-2512.0	-4.3	
2801	キッコーマン	8	23728	2024/03 1:5	40	61600.0	37872.0	159.6	
7846	パイロット	20	138600	2015/06 1:2	40	197440.0	58840.0	42.5	
2751	テンポス	10	11900	なし	10	37400.0	25500.0	214.3	
2269	明治HD	8	88080	2015/09 1:2 2023/03 1:2	32	114592.0	26512.0	30.1	
4507	塩野義製薬	13	40625	2024/09 1:3	39	108420.0	67795.0	166.9	
6741	日信号	26	33046	なし	26	41236.0	8190.0	24.8	
6645	オムロン	7	38150	なし	7	42938.0	4788.0	12.6	
7272	ヤマハ発	20	48840	2023/12 1:3	60	74220.0	25380.0	52.0	
2412	ベネ・ワン	5	6500	なし	N/A	N/A	N/A	N/A	ベネフィット・ワン。2024年MBOにより上場廃止
2331	ALSOK	2	5852	2023/06 1:5	10	10645.0	4793.0	81.9	
9974	ベルク	15	54825	なし	15	92550.0	37725.0	68.8	
7951	ヤマハ	4	7180	2024/09 1:3	12	13380.0	6200.0	86.4	
8332	横浜銀	9	5915.7	なし	N/A	N/A	N/A	N/A	横浜銀行。2016年コンコルディアFG(7186)設立で上場廃止
7458	第一興商	100	326000	2023/03 1:2	200	330100.0	4100.0	1.3	
4901	富士フイルム	10	37010	2024/03 1:3	30	101490.0	64480.0	174.2	
2193	COOKPAD	5	20750	2015/06 1:3	15	1740.0	-19010.0	-91.6	
6118	アイダ	5	5465	なし	5	5560.0	95.0	1.7	
2229	カルビー	25	104375	なし	25	69937.5	-34437.5	-33.0	
3030	ハブ	2	9530	2015/02 1:3 2017/05 1:3	18	15804.0	6274.0	65.8	
6501	日立	7	6304.9	2018/09 1:0.2 2024/06 1:5	7	33348.0	27043.1	428.9	
6257	藤商事	4	6156	なし	4	3984.0	-2172.0	-35.3	
9735	セコム	1	6945	2024/09 1:2	2	12916.0	5971.0	86.0	
4837	シダックス	10	5450	なし	N/A	N/A	N/A	N/A	シダックス。2023年MBOにより上場廃止
3097	物語コーポ	2	7500	2021/02 1:2 2023/02 1:3	12	55680.0	48180.0	642.4	
2165	メガロス	10	15980	なし	N/A	N/A	N/A	N/A	メガロス。2019年野村不動産HD(3231)のTOBで上場廃止
8830	住友不	2	8263	2025/12 1:2	4	14436.0	6173.0	74.7	
7013	IHI	10	6170	2017/09 1:0.1 2025/09 1:7	7.00	19719.0	13549.0	219.6	
5332	TOTO	4	5632	2015/09 1:0.5	2	16780.0	11148.0	197.9	
3407	旭化成	5	5527.5	なし	5	8962.5	3435.0	62.1	
3193	鳥貴族	2	15580	2015/01 1:2 2015/07 1:3	12	31572.0	15992.0	102.6	
8001	伊藤忠	4	5168	2025/12 1:5	20	36950.0	31782.0	615.0	
5943	ノーリツ	3	5925	なし	3	6741.0	816.0	13.8	
6849	日本光電	20	119600	2015/03 1:2 2024/06 1:2	80	110840.0	-8760.0	-7.3	
6952	カシオ計	19	35359	なし	19	36223.5	864.5	2.4	
8214	AOKI HD	100	122700	なし	100	162700.0	40000.0	32.6	
5110	住友ゴム	3	5400	なし	3	6771.0	1371.0	25.4	
4503	アステラス薬	11	18551.5	なし	11	23600.5	5049.0	27.2	
9436	沖縄セルラー	2	6500	2022/09 1:2 2025/09 1:2	8	29200.0	22700.0	349.2	
7701	島津製	4	4928	なし	4	15312.0	10384.0	210.7	
4967	小林製薬	2	14080	2016/06 1:2	4	21200.0	7120.0	50.6	
6503	三菱電	5	7230	なし	5	30255.0	23025.0	318.5	
9644	タナベ経営	18	15408	2021/09 1:2 2025/03 1:2	72	53136.0	37728.0	244.9	
9006	京急	7	6265	2017/09 1:0.5	3.50	5069.8	-1195.2	-19.1	
8022	ミズノ	34	20026	2017/09 1:0.2 2025/03 1:3	20.40	68952.0	48926.0	244.3	
7564	ワークマン	8	44480	2016/03 1:2 2019/03 1:2	32	216320.0	171840.0	386.3	
5949	ユニプレス	3	5946	なし	3	3615.0	-2331.0	-39.2	
2288	丸大食	60	24840	2018/09 1:0.2	12	26628.0	1788.0	7.2	
9989	サンドラッグ	9	44415	2017/03 1:2	18	68256.0	23841.0	53.7	
7453	良品計画	1	14880	2019/08 1:10 2025/08 1:2	20	69920.0	55040.0	369.9	
5233	太平洋セメ	15	5685	2017/09 1:0.1 2023/12 1:2	3	12840.0	7155.0	125.9	
6758	ソニー	3	7417.5	2024/09 1:5	15	47100.0	39682.5	535.0	
7751	キヤノン	2	7681	なし	2	8620.0	939.0	12.2	
2764	ひらまつ	50	32500	なし	50	6950.0	-25550.0	-78.6	
2362	夢真HD	10	7350	なし	N/A	N/A	N/A	N/A	夢真HD。2021年ビーネックスグループと経営統合→夢真ビーネックスG(2154)→上場廃止
1801	大成建	10	6870	2017/09 1:0.2	2	29570.0	22700.0	330.4	
4327	日本SHL	5	12710	なし	N/A	N/A	N/A	N/A	日本SHL。2023年MBOにより上場廃止
2587	サントリーBF	7	29190	なし	7	30590.0	1400.0	4.8	
4793	BSC	10	8660	なし	N/A	N/A	N/A	N/A	BSC。2018年MBOにより上場廃止 ※コード4799と混在可能性あり
1802	大林組	10	7830	なし	10	32800.0	24970.0	318.9	
9381	エーアイティー	8	6304	なし	8	17776.0	11472.0	182.0	
6425	ユニバーサル	5	9000	なし	5	3150.0	-5850.0	-65.0	
8306	三菱UFJ	15	9967.5	なし	15	49170.0	39202.5	393.3	
9020	JR東	1	9123	2024/03 1:3	3	10245.0	1122.0	12.3	
4452	花王	2	9514	なし	2	12402.0	2888.0	30.4	
9795	ステップ	8	6712	なし	8	17928.0	11216.0	167.1	
8086	ニプロ	10	10430	なし	10	16470.0	6040.0	57.9	
8031	三井物産	25	40537.5	2024/06 1:2	50	235800.0	195262.5	481.7	
8316	三井住友	2	8750	2024/09 1:3	6	38892.0	30142.0	344.5	
8802	三菱地所	3	7666.5	なし	3	12150.0	4483.5	58.5	
4666	パーク24	50	88650	なし	50	104175.0	15525.0	17.5	
8002	丸紅	7	5072.9	なし	7	34265.0	29192.1	575.5	
7752	リコー	4	4916	なし	4	5908.0	992.0	20.2	
9843	ニトリHD	3	19440	2025/09 1:5	15	35370.0	15930.0	81.9	
2371	カカクコム	10	17410	なし	10	33210.0	15800.0	90.8	
4326	CIJ	50	24450	2017/09 1:2	100	174300.0	149850.0	612.9	
3197	すかいらーく	5	6045	なし	5	13670.0	7625.0	126.1	
4555	沢井薬	1	6940	なし	N/A	N/A	N/A	N/A	沢井製薬。2021年サワイグループHD(4887)設立で上場廃止
9412	スカパーJ	10	7150	なし	10	32000.0	24850.0	347.6	
9437	NTTドコモ	3	5304	なし	N/A	N/A	N/A	N/A	NTTドコモ。2020年NTT完全子会社化で上場廃止
7739	キヤノン電子	3	5721	2026/04 1:1.60382e-07	N/A	N/A	N/A	N/A	キヤノン電子。分割データ異常（yfinance取得エラー）。要手動確認
3079	DVx	5	5225	なし	5	4880.0	-345.0	-6.6	
9766	コナミ	4	8880	なし	4	69720.0	60840.0	685.1	
2670	ABCマート	4	23320	2023/08 1:3	12	32388.0	9068.0	38.9	
9984	ソフトバンク	1	7210	2019/06 1:2 2025/12 1:4	8	56888.0	49678.0	689.0	
4568	第一三共	13	21944	2020/09 1:3	39	99118.5	77174.5	351.7	
4578	大塚HD	6	21702	なし	6	63090.0	41388.0	190.7	
6098	リクルートHD	2	6880	2017/06 1:3	6	65190.0	58310.0	847.5	
8136	サンリオ	7	21000	2024/03 1:3 2026/03 1:5	105	96390.0	75390.0	359.0	
9672	都競馬	16	4784	2017/06 1:0.1	1.60	7640.0	2856.0	59.7	
9432	NTT	1	6211	2015/06 1:2 2019/12 1:2 2023/06 1:25	100	14440.0	8229.0	132.5	
4293	セプテーニHD	4	4652	2016/09 1:5	20	9560.0	4908.0	105.5	
4911	資生堂	10	16930	なし	10	25290.0	8360.0	49.4	
5015	BPカストロール	4	4664	なし	4	4040.0	-624.0	-13.4	
9468	カドカワ・ドワンゴ	3	5715	2021/12 1:2	6	19668.0	13953.0	244.1	
3765	ガンホー	10	4410	2019/06 1:0.1	1	2171.0	-2239.0	-50.8	
6460	セガサミーHD	3	4668	なし	3	6343.5	1675.5	35.9	
2678	アスクル	2	4302	2021/05 1:2	4	4632.0	330.0	7.7	
3662	エイチーム	1	5000	2015/04 1:2	2	1848.0	-3152.0	-63.0	
