コード	銘柄名	株数	取得単価	現在値	損益	PER	PBR	ROE	配当利回り	自己資本比率	営業利益率	業種	直近材料	情報源
1377	サカタのタネ	未保有	対象外	4185	対象外	17.69	1.02	5.78	1.79	82.32	12.38	水産・農林業	📈【B】 2026/04/07 26/5期3Q決算。売上+9.43、純利益+11.24。通期営業利益125億円予想。 【ファンダメンタル確認値】現在値4185、PER17.69、PBR1.02、ROE5.78、配当利回り1.79、自己資本比率82.32、営業利益率12.38 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
1801	大成建設	未保有	対象外	13705	対象外	14.79	2.36	15.93	2.77	34.93	6.24	建設業	📈【B】 2026/05/14 26/3期決算。純利益+37.29、27/3期売上+15.84予想。 【ファンダメンタル確認値】現在値13705、PER14.79、PBR2.36、ROE15.93、配当利回り2.77、自己資本比率34.93、営業利益率6.24 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
1802	大林組	未保有	対象外	3202	対象外	14.02	1.75	12.48	2.94	40.03	7.53	建設業	📈【A】 2026/06/18 Multiplex社子会社化、2026/05/13 インドネシア高速道路事業者株式取得。 【ファンダメンタル確認値】現在値3202、PER14.02、PBR1.75、ROE12.48、配当利回り2.94、自己資本比率40.03、営業利益率7.53 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
1911	住友林業	未保有	対象外	1375	対象外	8.87	0.81	9.13	3.64	39.84	7.44	建設業	📈【A】 2026/05/14 米Tri Pointe Homes株式取得完了、子会社化。 【ファンダメンタル確認値】現在値1375、PER8.87、PBR0.81、ROE9.13、配当利回り3.64、自己資本比率39.84、営業利益率7.44 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2009	鳥越製粉	未保有	対象外	1082	対象外	22.50	0.70	3.09	4.53	79.49	4.99	食料品	➖【C】 2026/05/11 1Q決算。高自己資本・高配当だがROE低め。 【ファンダメンタル確認値】現在値1082、PER22.50、PBR0.70、ROE3.09、配当利回り4.53、自己資本比率79.49、営業利益率4.99 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2031	ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ダブル・ブル　ＥＴＮ	未保有	対象外	8700	対象外	対象外	対象外	対象外	対象外	対象外	対象外	ETN	➖【C】 ETNのため企業ファンダメンタル指標は対象外。 【ファンダメンタル確認値】現在値8700、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】ETF/ETNのため企業ファンダメンタル指標は対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2127	日本Ｍ＆Ａセンターホールディングス	未保有	対象外	620	対象外	14.68	3.92	26.70	4.68	75.78	37.33	サービス業	📈【B】 2026/06/25 自己株式処分。高ROE・高配当。 【ファンダメンタル確認値】現在値620、PER14.68、PBR3.92、ROE26.70、配当利回り4.68、自己資本比率75.78、営業利益率37.33 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2177	ベンチャーリパブリック	未保有	対象外	1092	対象外	対象外	2.03	対象外	対象外	72.54	対象外	サービス業	➖【C】 現行上場/投資対象として要確認。過去情報中心。 【ファンダメンタル確認値】現在値1092、PER対象外、PBR2.03、ROE対象外、配当利回り対象外、自己資本比率72.54、営業利益率対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2181	パーソルホールディングス	未保有	対象外	237	対象外	11.88	2.41	20.27	5.49	35.37	3.96	サービス業	📉【D】 2026/06/02 公取委による子会社立入検査。 【ファンダメンタル確認値】現在値237、PER11.88、PBR2.41、ROE20.27、配当利回り5.49、自己資本比率35.37、営業利益率3.96 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
2193	クックパッド	未保有	対象外	116	対象外	11.25	0.68	5.75	0.00	90.84	4.95	サービス業	➖【C】 直近材料は決算・業績レビュー中心。大型の上方修正、増配、自社株買い、M&A等の強材料は会話内調査では見当たらず。【ファンダメンタル確認値】現在値116、PER11.25、PBR0.68、ROE5.75、配当利回り0.00、自己資本比率90.84、営業利益率4.95 【扱い】通常上場銘柄として継続比較対象。【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
