業種名	前日比(%)	1週間比(%)	1ヶ月比(%)	6ヶ月比(%)	1年比(%)
水産・農林	+0.23	-0.14	+2.64	+0.96	+29.50
鉱業	+1.51	+10.06	+10.58	+12.61	+77.78
建設	-0.23	+1.38	-1.09	-8.26	+29.82
食料品	+0.75	-0.19	+3.31	+11.88	+22.58
繊維	-1.26	+0.72	+1.56	+1.27	+16.62
パルプ・紙	-1.50	+2.50	+11.27	+3.60	+25.96
化学	-2.14	-0.90	-1.32	+13.31	+28.32
医薬品	+1.76	+1.24	+5.12	-1.43	+15.05
石油・石炭	-0.78	+6.25	+8.78	+2.65	+56.20
ゴム	-1.79	-0.82	+7.62	+2.95	+22.77
ガラス・土石	-1.94	+1.80	-12.85	+20.90	+65.74
鉄鋼	+0.60	+3.55	+8.50	-7.95	+9.85
非鉄金属	-3.20	+6.03	-21.68	+38.50	+179.01
金属製品	-1.42	-1.67	-0.30	+17.79	+32.38
機械	-1.80	+3.00	-2.24	+2.69	+28.49
電気機器	-2.77	+1.79	-9.08	+22.39	+56.90
輸送用機器	-1.76	+0.06	+6.68	-14.32	+2.16
精密機器	-0.73	-2.27	-3.78	+2.14	+19.99
その他製品	-0.66	-1.89	+5.07	-13.47	-23.18
電気・ガス	+0.60	+2.71	+4.07	-1.85	+27.97
陸運	+1.15	+0.32	+9.14	-0.77	+10.23
海運	+1.31	+3.93	+10.19	+21.17	+18.06
空運	-1.75	-3.19	+0.18	-4.36	-3.00
倉庫・運輸	+0.47	+0.83	+7.43	+4.26	+20.22
情報・通信	-1.60	+0.15	-0.79	+3.02	+10.44
卸売	-0.47	+5.83	+7.53	+5.03	+45.46
小売	+0.33	-1.85	+2.92	+1.61	+11.90
銀行	-0.09	+7.93	+14.06	+30.93	+79.81
証券・商品先物	-1.41	+4.41	+12.63	+5.73	+40.04
保険	+1.33	+7.38	+13.79	+31.97	+41.96
その他金融	-1.03	+4.05	+7.03	+22.58	+54.93
不動産	-0.49	-0.83	+4.92	-6.05	+23.14
サービス	-0.53	-2.51	+8.41	+17.54	+18.45
データ取得日時	2026-07-25 20:24 JST	株価基準: 2026-07-24終値	ソース: https://s.kabutan.jp/warnings/sector_stocks_ranking/ ; https://s.kabutan.jp/stocks/0251/historical_prices/daily/ （0251～0283）	N/A	N/A
