コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	優待有無	優待内容	優待最低株数	優待判定信頼度	注意フラグ	要確認理由	配当ランキング利用可否	優待ランキング利用可否	総合ランキング利用可否	記事掲載区分	yfinance状態	みんかぶ状態
4719	アルファシステムズ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	3280.0	4.27	140.0	4.12	140.0	4.27	配当あり	いいえ	12.27	1.02	460.5	4240.0	3055.0	Technology	あり	オリジナルカレンダー: 100株以上 | サイズ：B/2切 (755×504mm) | 【送付時期】 12月中旬	100	高			OK	OK	OK	通常掲載可	OK	OK
471A	ＮＳグループ	プライム（内国株式）	7200	その他金融業	16	金融（除く銀行）	7	TOPIX Small 2	1470.0	5.17	76.0	5.29	76.0	5.17	配当あり	いいえ	12.93	2.64	715.7	1799.0	1274.0	Industrials	なし			高			OK	OK	OK	通常掲載可	OK	OK
4720	城南進学研究社	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	230.0	2.17	5.0	2.16	5.0	2.17	配当あり	いいえ	383.33	1.33	18.5	363.0	224.0	Consumer Defensive	あり	QUOカード: 100株以上 | 【1年以上保有】 1,000円相当 | ■継続保有期間について 毎年3月31日現在の当社株主名簿に記載された当社株式1単元(100株)以上を保有しており、かつ1年以上継続保有している株主を対象とする。 / 500株以上 | 【1年以上保有】 2,000円相当 / 1,000株以上 | 【1年以上保有】 5,000円相当	100	高			OK	OK	OK	通常掲載可	OK	OK
4722	フューチャー	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	6	TOPIX Small 1	1500.0	3.2	48.0	3.3	48.0	3.2	配当あり	いいえ	11.36	2.1	1330.1	2448.0	1429.0	Technology	なし			高			OK	OK	OK	通常掲載可	OK	OK
4725	ＣＡＣ　Ｈｏｌｄｉｎｇｓ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	1774.0	5.64	100.0	5.68	100.0	5.64	配当あり	いいえ	9.27	0.89	306.7	2233.0	1752.0	Technology	なし			高			OK	OK	OK	通常掲載可	OK	OK
4728	トーセ	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	640.0	3.91	25.0	3.89	25.0	3.91	配当あり	いいえ	12.18	0.76	48.5	713.0	612.0	Communication Services	なし			高			OK	OK	OK	通常掲載可	OK	OK
472A	ミラティブ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	392.0						配当未取得		8.38	1.76	66.4	758.0	378.0	Communication Services	なし			高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
4732	ユー・エス・エス	プライム（内国株式）	9050	サービス業	10	情報通信・サービスその他	4	TOPIX Mid400	1927.5	2.85	55.0	2.88	55.0	2.85	配当あり	いいえ	21.79	4.31	8751.6	1943.5	1557.0	Consumer Cyclical	あり	QUOカード、VJAギフトカード、オリジナルグルメギフト: 100株以上 | 【保有期間の定めなし】 QUOカード　500円相当 （年間 1,000円相当） | ※3年以上の長期保有に対する優待制度は、2028年9月末日現在の株主名簿の株数を基準に、継続保有期間の判定を開始します。 ■継続保有期間について 継続保有期間3年以上の株主様とは、2025年9月末日の基準日以降、毎年3月末日および9月末日現在の株主名簿に、同一の株主番号で、連続して7回以上記録され、その全ての基準日（3月末日・9月末日）において、各区分の最小株式数（300株、500株、1,000株または10,000株）を下回ることなく	100	高			OK	OK	OK	通常掲載可	OK	OK
4733	オービックビジネスコンサルタント	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	4	TOPIX Mid400	5827.0	2.23	130.0	2.27	130.0	2.23	配当あり	いいえ	24.18	2.59	4380.5	9379.0	5557.0	Technology	あり	オリジナルQUOカード: 100株以上 | 3,000円相当 | ■贈呈時期 毎年6月 / 2,000株以上 | 6,000円相当 / 20,000株以上 | 9,000円相当	100	高			OK	OK	OK	通常掲載可	OK	OK
4735	京進	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	314.0	2.49	7.81	2.52	7.81	2.49	配当あり	いいえ	27.0	0.62	24.1	390.0	279.0	Consumer Defensive	なし			高			OK	OK	OK	通常掲載可	OK	OK
