コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	優待有無	優待内容	優待最低株数	優待判定信頼度	注意フラグ	要確認理由	配当ランキング利用可否	優待ランキング利用可否	総合ランキング利用可否	記事掲載区分	yfinance状態	みんかぶ状態
9414	日本ＢＳ放送	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	896.0	3.35	30.0	3.35	30.0	3.35	配当あり	いいえ	14.04	0.65	159.8	1169.0	886.0	Communication Services	なし			高			OK	OK	OK	通常掲載可	OK	OK
9416	ビジョン	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	6	TOPIX Small 1	986.0	5.88	58.0	5.88	58.0	5.88	配当あり	いいえ	10.72	2.33	480.7	1343.0	966.0	Communication Services	あり	自社サービス利用券: 100株以上 | 6月分：2枚 12月分：2枚 | ◇以下のサービスが利用可能。 ※1、Wi-Fi ルーターレンタル、宿泊施設のお申込みは、最大29,000円分まで割引として適用可能。 ※2、有効期間：（6月分）利用券到着日～翌年9月30日／（12月分）利用券到着日～翌年3月31日 ※3、現金との引換え不可、釣銭は出ない。 ■国内外でモバイルインターネット通信に利用／Wi-Fi ルーターレンタルサービス「グローバルWiFi」 ※1、海外渡航時・国内利用時とも利用可能。 ※2、全合計金額ではなく、通信料から値引きされる。 ※3、申込時、受渡手数料：無料（通常 500円税抜）	100	高			OK	OK	OK	通常掲載可	OK	OK
9417	スマートバリュー	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	333.0	3.0	10.0	3.0	10.0	3.0	配当あり	いいえ	7.41	2.36	33.1	531.0	283.0	Technology	なし			高			OK	OK	OK	通常掲載可	OK	OK
9418	Ｕ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	6	TOPIX Small 1	1580.0	1.08	17.0	1.08	17.0	1.08	配当あり	いいえ	15.13	2.7	2849.9	2359.0	1504.0	Industrials	あり	コンテンツ配信サービス｢U-NEXT｣: 100株以上 | 1、｢U-NEXT｣の90日分の利用料 2、1,000円相当分のポイント | ※1、付与されたポイントは定額制音楽配信サービス(アプリ)｢SMART USEN｣の決済にも利用できる。 ※2、1,000株以上の優待は株主専用のアカウントを発行し提供。継続保有の場合は、アカウントの有効期間を自動延長します。 ■継続保有期間について 各基準日において1,000株以上を同一株主番号で保有の場合、継続保有となります。 ■案内時期 確定日2月末：5月上旬 確定日8月末：11月上旬 / 1,000株以上 | 1、｢U-NEXT｣の1年分の利用料 2	100	高			OK	OK	OK	通常掲載可	OK	OK
9419	ワイヤレスゲート	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	309.0						配当未取得		11.98	2.01	33.6	354.0	232.0	Communication Services	あり	デジタルギフト: 1,000株以上 | 【6カ月以上保有】 5,000円相当 （年間　10,000円相当） | ◇対象となる交換先：PayPay マネーライト/Amazon ギフトカード/QUO カード pay/楽天ポイントギフト/ｄポイント/図書カード NEXT/すかいらーくグループ/Uber Eats/Google Play/au PAY 等 ■継続保有期間について 基準日(毎年6月末日及び12月末日)の当社株主名簿に、 同一株主番号で 所定の株数以上の保有を２回以上連続で記載又は記録されること。 ■贈呈時期 各基準日から3カ月以内 / 2,000株以上 | 【6カ月以上保有】 15,00	1000	高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
9421	エヌジェイホールディングス	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	600.0						配当未取得		52.63	1.98	31.8	692.0	529.0	Communication Services	あり	QUOカード: 100株以上 | 1,000円相当 | ■贈呈時期 定時株主総会後にお送りする「定時株主総会決議ご通知」に同封。 / 200株以上 | 4,000円相当	100	高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
9423	フォーバル・リアルストレート	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	100.0	5.8	5.8	5.8	5.8	5.8	配当あり	いいえ	14.33	3.25	24.2	150.0	99.0	Real Estate	あり	電子マネーギフト: 1,000株以上 | ・EJOICA セレクトギフト（カードタイプ） 1枚（2,000ポイント＝2,000円相当） | ■贈呈時期 毎年6月開催の定時株主総会終了後に発送する「定時株主総会決議ご通知」に同封。 / 5,000株以上 | ・EJOICA セレクトギフト（カードタイプ） 2枚（15,000ポイント＝15,000円相当）	1000	高			OK	OK	OK	通常掲載可	OK	OK
9424	日本通信	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	107.0						配当未取得		23.36	3.86	178.5	177.0	106.0	Communication Services	なし			高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
9425	ＲｅＹｕｕ　Ｊａｐａｎ	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	160.0						配当未取得			0.68	10.9	1413.0	149.0	Technology	なし			高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
9428	クロップス	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	1250.0	2.56	32.0	2.56	32.0	2.56	配当あり	いいえ	12.76	0.89	118.2	1764.0	1132.0	Communication Services	あり	オリジナルカタログギフト: 500株以上 | 3,000円相当	500	高			OK	OK	OK	通常掲載可	OK	OK
